Country,Continent,Life_expectancy,GDP_per_capita,Population
Algeria,Africa,75.04253659,4132.760292,39871528
Angola,Africa,52.66609756,3695.793748,27859305
Benin,Africa,59.72070732,783.947091,10575952
Botswana,Africa,64.48741463,6532.060501,2209197
Burundi,Africa,57.10704878,303.6810223,10199270
Cameroon,Africa,55.93439024,1244.429421,22834522
Central African Republic,Africa,51.41912195,348.381417,4546100
Chad,Africa,51.87331707,777.2487051,14009413
Comoros,Africa,63.55402439,727.6463868,777424
Congo,Africa,62.86765854,1712.121131,4995648
Djibouti,Africa,62.28565854,1862.167274,927414
Egypt,Africa,71.31695122,3547.713012,93778172
Equatorial Guinea,Africa,57.96341463,10347.31257,1175389
Ethiopia,Africa,64.57804878,645.4637627000002,99873033
Gabon,Africa,64.89034146,7388.984144,1930175
Gambia,Africa,60.46768293,474.7165587,1977590
Ghana,Africa,61.49173171,1361.1139050000004,27582821
Guinea,Africa,59.19343902,554.0408765999998,12091533
Guinea-Bissau,Africa,55.46731707,596.8717188999998,1770526
Kenya,Africa,62.13373171,1349.970144,47236259
Lesotho,Africa,49.96121951,1073.828093,2174645
Liberia,Africa,61.16095122,452.0380717000001,4499621
Madagascar,Africa,65.48278049,401.8575951,24234088
Malawi,Africa,63.79685366,362.6575444,17573607
Mali,Africa,58.45721951,729.7205338,17467905
Mauritania,Africa,63.20282927,1158.256469,4182341
Mauritius,Africa,74.35317073,9252.110724,1262605
Morocco,Africa,74.28931707,2847.285569,34803322
Mozambique,Africa,55.3712439,528.3125597,28010691
Namibia,Africa,64.91543902,4737.669906,2425561
Niger,Africa,61.96902439,358.9970301,19896965
Nigeria,Africa,53.04887805,2655.157977,181181744
Rwanda,Africa,64.52453659,710.3483907000002,11629553
Sao Tome and Principe,Africa,66.51370732,1624.603963,195553
Senegal,Africa,66.80441463,908.7256145,14976994
Seychelles,Africa,73.22926829,15390.04064,93419
Sierra Leone,Africa,51.30817073,587.5038232999998,7237025
Somalia,Africa,55.68558537,426.0098537,13908129
South Africa,Africa,57.44090244,5769.77258,55011976
South Sudan,Africa,56.1115122,758.7205782000002,11882136
Sudan,Africa,63.71073171,2513.884661,38647803
Swaziland,Africa,48.87395122,3136.92511,1319011
Tanzania,Africa,65.4874878,872.2940933,53879957
Togo,Africa,60.1207561,551.1308346,7416802
Tunisia,Africa,74.97597561,3828.091589,11273661
Uganda,Africa,59.17907317,693.8963828999998,40144870
Zambia,Africa,60.78568293,1313.889646,16100587
Zimbabwe,Africa,59.16107317,1018.693083,15777451
Afghanistan,Asia,60.71717073,584.0259021,33736494
Bahrain,Asia,76.81909756,22688.87824,1371855
Bangladesh,Asia,72.00119512,1210.1581199999996,161200886
Bhutan,Asia,69.83285366,2613.645177,787386
Cambodia,Asia,68.65614634,1163.18977,15517635
China,Asia,75.98634146,8069.211937999998,1371220000
India,Asia,68.34856098,1613.188708,1309053980
Indonesia,Asia,69.07168293,3336.106686,258162113
Iran,Asia,75.59134146,4957.581276,79360487
Iraq,Asia,69.59026829,4974.02693,36115649
Israel,Asia,82.05121951,35729.37253,8380100
Japan,Asia,83.84365854,34474.13736,127141000
Jordan,Asia,74.20334146,4096.099275,9159302
Kazakhstan,Asia,72.0,10509.98107,17544126
Kuwait,Asia,74.69790244,28975.40108,3935794
Lebanon,Asia,79.62860976,8046.632851,5851479
Malaysia,Asia,74.87517073,9643.644683,30723155
Maldives,Asia,76.979,8395.785198,409163
Mongolia,Asia,69.82126829,3944.180039,2976877
Nepal,Asia,69.97334146,743.7653489,28656282
Oman,Asia,77.32419512,16627.36433,4199810
Pakistan,Asia,66.37697561,1431.244865,189380513
Philippines,Asia,68.4067561,2878.33837,101716359
Qatar,Asia,78.76258537,66346.52267,2481539
Russian Federation,Asia,70.90853659,9329.298351,144096870
Saudi Arabia,Asia,74.49334146,20732.86172,31557144
Singapore,Asia,82.59512195,53629.73746,5535002
Sri Lanka,Asia,74.95319512,3844.89123,20966000
Tajikistan,Asia,69.76843902,918.6771543,8548651
Thailand,Asia,74.60119512,5814.863134,68657600
Turkey,Asia,75.42621951,10979.52569,78271472
Turkmenistan,Asia,65.73643902,6432.668768,5565284
United Arab Emirates,Asia,77.5412439,39101.74689,9154302
Uzbekistan,Asia,68.45307317,2137.576852,31298900
Vietnam,Asia,75.77773171,2107.012927,91713300
Yemen,Asia,64.03139024,1401.903319,26916207
Albania,Europe,78.01446341,3954.022783,2880703
Armenia,Europe,74.79712195,3609.654776,2916950
Austria,Europe,81.84390244,43665.00947,8633169
Azerbaijan,Europe,70.84878049,5500.310382,9649341
Belarus,Europe,73.62439024,5949.1106770000015,9489616
Belgium,Europe,81.28780488,40356.875,11274196
Bosnia and Herzegovina,Europe,76.58858537,4574.090787,3535961
Bulgaria,Europe,74.46585366,6993.477359999999,7177991
Croatia,Europe,77.27560976,11579.66704,4203604
Cyprus,Europe,80.30709756,23075.1127,1160985
Czech Republic,Europe,79.47317073,17556.9243,10546059
Denmark,Europe,81.1,53014.64416,5683483
Estonia,Europe,77.13170732,17074.92091,1315407
Finland,Europe,81.38536585,42405.39744,5479531
France,Europe,82.67073171,36526.77011000001,66624068
Georgia,Europe,74.81741463,3764.640912,3717100
Germany,Europe,81.0902439,41176.88158,81686611
Greece,Europe,81.58780488,18007.78991,10820883
Hungary,Europe,75.96097561,12365.62603,9843028
Iceland,Europe,82.86097561,50734.4436,330815
Ireland,Europe,81.50243902,60664.1044,4676835
Italy,Europe,83.4902439,30049.14755,60730582
Latvia,Europe,74.12439024,13666.58336,1977527
Lithuania,Europe,75.1195122,14252.42853,2904910
Luxembourg,Europe,82.22926829,101909.8223,569604
Macedonia,Europe,75.49534146,4834.136723,2079308
Malta,Europe,81.94634146,23819.4636,431874
Moldova,Europe,71.62643902,1832.499052,3554108
Montenegro,Europe,76.33770732,6461.192554,622159
Netherlands,Europe,81.70731707,44292.88473,16939923
Norway,Europe,82.1,74505.24654,5188607
Poland,Europe,78.20487805,12565.9876,37986412
Portugal,Europe,81.52195122,19220.00681,10358076
Romania,Europe,74.96097561,8958.788593000001,19815481
Serbia,Europe,75.48780488,5237.255334,7095383
Slovenia,Europe,81.07804878,20729.86383,2063531
Spain,Europe,83.3804878,25683.84565,46447697
Sweden,Europe,82.55121951,50585.25847,9799186
Switzerland,Europe,83.19756098,80989.84023999999,8282396
Ukraine,Europe,71.1895122,2124.662666,45154029
United Kingdom,Europe,81.60487805,43929.69081,65128861
Antigua and Barbuda,North America,76.10021951,13566.90541,99923
Bahamas,North America,75.39682927,22888.13405,386838
Barbados,North America,75.65843902,15557.83081,284217
Belize,North America,70.19236585,4849.997495000001,359288
Canada,North America,82.13763415,43315.70044,35848610
Costa Rica,North America,79.58646341,11406.36273,4807852
Cuba,North America,79.54641463,7602.2612180000015,11461432
Dominican Republic,North America,73.67668293,6468.471648,10528394
El Salvador,North America,73.00109756,4127.11775,6312478
Grenada,North America,73.523,9212.192824,106823
Guatemala,North America,71.9564878,3923.573344,16252429
Haiti,North America,63.0737561,814.5463952,10711061
Honduras,North America,73.33312195,2326.158506,8960829
Jamaica,North America,75.79817073,4965.989857000001,2871934
Mexico,North America,76.92068293,9143.128494,125890949
Nicaragua,North America,75.09812195,2095.966488,6082035
Panama,North America,77.76729268,13134.04367,3969249
Trinidad and Tobago,North America,70.55770732,17321.833730000002,1360092
United States,North America,78.74146341,56207.03675,320896618
Australia,Oceania,82.45121951,56554.03876,23789338
Fiji,Oceania,70.25626829,4921.896209,892149
Kiribati,Oceania,66.14785366,1424.483611,112407
Micronesia,Oceania,69.2342439,3016.011223,104433
New Zealand,Oceania,81.45682927,38201.89037,4595700
Samoa,Oceania,73.76487805,4149.363444,193759
Solomon Islands,Oceania,68.1462439,1922.041388,587482
Tonga,Oceania,72.94404878,4093.775387,106364
Vanuatu,Oceania,72.15736585,2805.83414,264603
Argentina,South America,76.33421951,13467.10236,43417765
Bolivia,South America,68.73960976,3077.026199,10724705
Brazil,South America,74.67587805,8757.206202,205962108
Chile,South America,81.78756098,13653.22673,17762681
Colombia,South America,74.18202439,6044.525556000001,48228697
Ecuador,South America,76.10292683,6205.062224,16144368
Guyana,South America,66.5075122,4136.689919,768514
Paraguay,South America,73.02563415,4109.3677240000015,6639119
Peru,South America,74.78073171,6030.343259,31376671
Suriname,South America,71.29417073,8818.982565999999,553208
Uruguay,South America,77.13821951,15524.84247,3431552
